client_id,agency_id,business_name,industry,city,onboarding_date,monthly_retainer_inr,client_status
CL0302,AG034,Radhe Cart,E-commerce & D2C,Lucknow,2025-02-15,87904,Churned
CL0303,AG025,Green Motors,Automobile Dealers,Kanpur,2024-11-05,47657,Active
CL0304,AG040,City Traders,Manufacturing / B2B,  Kanpur  ,2024-10-14,77409,Churned
CL0305,AG016,Star Kitchen,Restaurants & Cafes,Kanpur,2024-12-06,28606,Active
CL0306,AG042,Awadh Properties,Real Estate,Lucknow,2025-02-09,₹nan,Active
CL0307,AG039,Sunrise Infra,Real Estate,Lucknow,2024-06-30,111749,N
CL0308,AG015,Prime Yatra,Travel & Tourism,Lucknow,2025-11-22,41523,Active
CL0309,AG022,Krishna Institute,Edu & Coaching,Prayagraj,07.07.2025,Rs. 24803,Active
CL0310,AG024,Lucknow Celebrations,Wedding & Events,Barabanki,2026-03-09,48263,Active
CL0311,AG035,Shree Boutique,Fashion & Apparel,Lucknow,2025-11-20,38933,Y
CL0312,AG032,Royal Industries,Manufacturing / B2B,Kanpur,2024-07-19,36712,Active
CL0313,AG039,Nawab Properties,Real Estate,Lucknow,2024-05-10,89407,Active
CL0314,AG017,Grand Legal Associates,Legal Services,Lucknow,2025-03-17,17359,Active
CL0315,AG023,Metro Capital,Fintech & Local Finance,Lucknow,2025-05-07,61847,Active
CL0316,AG020,National Gems,Jewellery,Lucknow,2024-10-07,66788,Active
CL0317,AG041,Urban Bazaar,E-commerce & D2C, Varanasi,2026-01-27,31025,Active
CL0318,AG014,Nawab Wellness,Fitness & Wellness,Sultanpur,2025-08-03,17456,Active
CL0319,AG027,Green Foods,Restaurants & Cafes,Lucknow,2025-12-28,28856,active
CL0320,AG006,Care Cars,Automobile Dealers,RAE BARELI,06/13/2024,51765,Active
CL0274,AG029,Heritage Autos,Automobile Dealers,Rae Bareli,2025-12-14,31131,Active
CL0242,AG019,City Infra,Real Estate,Amethi,2025-03-27,49303,Active
CL0289,AG038,Metro Infra,Real Estate,Lucknow,2026-04-25,96188,Active
CL0123,AG019,United Yatra,Travel & Tourism,Prayagraj,2026-07-17,19117,Active
CL0173,AG998,Krishna Boutique,Fashion & Apparel,Barabanki,2025-10-05,Rs. 24599,Active
CL0153,AG036,United Travels,Travel & Tourism,Unnao,2025-01-10,43075,Churned
CL0067,AG040,Metro Celebrations,Wedding & Events,Lucknow,2026-07-16,37544,Active
CL0237,AG024,Royal Industries,Manufacturing / B2B,Kanpur,2026-04-02,31851,Active
CL0076,AG017,Classic Fitness Studio,Fitness & Wellness,LUCKNOW,2024-11-29,12690,Active
CL0316,AG020,National Gems,Jewellery,Lucknow,2024-10-07,66788,Active
CL0121,AG029,Krishna Traders,Manufacturing / B2B,Rae Bareli,2026-06-11,75899,Active
CL0217,AG044,Lucknow Jewels,Jewellery,Barabanki,2026-07-21,,Active
CL0232,AG016,Elite Law Chambers,Legal Services,Lucknow,2026-05-13,8873,Active
CL0209,AG007,Radhe Infra,Real Estate,Barabanki,2025-08-13,69481,Active
CL0107,AG022,Radhe Travels,Travel & Tourism,BARABANKI,2025-08-30,10433,ACTIVE
CL0303,AG025,Green Motors,Automobile Dealers,Kanpur,2024-11-05,47657,Active
