campaign_id,client_id,campaign_name,campaign_type,platform,start_date,end_date,budget_inr,objective
CMP00227,CL0243,SEO - App Installs,SEO,,2025-11-06,2026-08-07,43360,App Installs
CMP00228,CL0192,Content Marketing - Local Footfall,Content Marketing,LinkedIn,2025-08-23,2026-07-07,34542,Local Footfall
CMP00229,CL0318,Email Marketing - Brand Awareness,Email Marketing,Email,2025-09-13,2026-07-28,5465,Brand Awareness
CMP00230,CL0113,SEO - Brand Awareness,S.E.O,Organic Search (Google),2024-09-13,2025-11-02,39828,Brand Awareness
CMP00231,CL0298,Content Marketing - Brand Awareness,Content Marketing,LinkedIn,2026-02-01,2026-09-06,21148,Brand Awareness
CMP00232,CL0015,PPC - Lead Generation,PPC,Bing Ads,2024-09-24,2026-01-28,"124,997",Lead Generation
CMP00233,CL0162,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2026-03-27,2026-09-06,57958,App Installs
CMP00234,CL0256,Social Media Marketing - Website Traffic,Social Media Marketing,,2024-11-27,03/08/2026,25520,Website Traffic
CMP00235,CL0171,PPC - Lead Generation,PPC,Google Ads,2026-07-08,10.08.2025,135208.0,Lead Generation
CMP00236,CL0299,SEO - Brand Awareness,SEO,Organic Search (Google),2025-05-04,2026-09-06,27792,Brand Awareness
CMP00237,CL0101,SEO - Brand Awareness,SEO,Organic Search (Google),25/01/2026,2026-09-06,27214,Brand Awareness
CMP00238,CL0011,SEO - Sales / Conversions,S.E.O,Organic Search (Google),08/07/2026,2026-09-06,"57,132",Sales / Conversions
CMP00239,CL0248,Social Media Marketing - Sales / Conversions,social media marketing,YouTube Ads,2025-11-20,2026-09-06,80891,Sales / Conversions
CMP00240,CL0022,PPC - Brand Awareness,PPC,Bing Ads,2025-02-15,2026-09-06,"₹131,737",Brand Awareness
CMP00241,CL0245,SEO - Local Footfall,S.E.O,Organic Search (Google),2025-10-24,2026-07-17,,Local Footfall
CMP00242,CL0235,Social Media Marketing - Brand Awareness,social media marketing,Instagram,2025-09-22,06/09/2026,92391,Brand Awareness
CMP00243,CL0271,Social Media Marketing - Website Traffic,Social Media Marketing,Instagram,2025-12-27,2026-09-06,24798,Website Traffic
CMP00244,CL0154,Social Media Marketing - Sales / Conversions,Social Media Marketing,YouTube Ads,2024-12-22,2026-04-14,65997.0,Sales / Conversions
CMP00245,CL0287,Local SEO / GMB - Sales / Conversions,GMB,Google My Business,2025-06-22,2026-06-29,14454,Sales / Conversions
CMP00246,CL0055,PPC - App Installs,PPC,Google Ads,2024-12-25,2025-09-16,,App Installs
CMP00247,CL0139,Content Marketing - Local Footfall,Content Marketing,LinkedIn,2025-06-25,2026-09-06,19514,Local Footfall
CMP00248,CL0039,SEO - Lead Generation,SEO,Organic Search (Google),2026-05-24,2026-09-06,24226,Lead Generation
CMP00249,CL0246,Content Marketing - Sales / Conversions,Content Marketing,Organic Search (Google),06-Jun-2026,2026-09-06,27701,Sales / Conversions
CMP00250,CL0229,Local SEO / GMB - Lead Generation,Local SEO / GMB,Google My Business,2025-10-23,2026-08-06,28202,Lead Generation
CMP00251,CL0259,Email Marketing - Sales / Conversions,Email Marketing,Email,2025-04-18,2026-09-06,17706,Sales / Conversions
CMP00252,CL0245,Social Media Marketing - Website Traffic,Social Media Marketing,YouTube Ads,2025/10/22,2026-09-06,44694,Website Traffic
CMP00253,CL0099,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,2025-01-15,2026-05-16,51840,Sales / Conversions
CMP00254,CL0022,PPC - Brand Awareness,PPC,Bing Ads,2025-04-26,2026-06-08,,Brand Awareness
CMP00255,CL0298,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,01.02.2026,2026-09-06,35785,Brand Awareness
CMP00256,CL0158,Content Marketing - Brand Awareness,Content Marketing,Organic Search (Google),2025-04-26,2026-08-16,30848,Brand Awareness
CMP00257,CL0031,Local SEO / GMB - Brand Awareness,Local SEO / GMB,Google My Business,2024-09-16,2026-02-27,23309,Brand Awareness
CMP00258,CL0297,Social Media Marketing - Sales / Conversions,Social Media Marketing,YouTube Ads,2025-06-08,2026-02-16,35669,Sales / Conversions
CMP00259,CL0319,SEO - App Installs,SEO,Organic Search (Google),2025-12-28,2026-09-06,41301,App Installs
CMP00260,CL0143,Social Media Marketing - Lead Generation,Social Media Marketing,Meta Ads,2024-10-08,2025-07-02,75211,Lead Generation
CMP00261,CL0247,SEO - Lead Generation,SEO,Organic Search (Google),2026-07-03,2026-09-06,38369,Lead Generation
CMP00262,CL0012,PPC - Website Traffic,PPC,Bing Ads,2025-05-10,2026-08-19,57955,Website Traffic
CMP00263,CL0030,PPC - App Installs,PPC,Google Ads,2025-06-09,2026-05-24,92074,App Installs
CMP00264,CL0089,Content Marketing - Brand Awareness,Content Marketing,YouTube,2025-04-20,2026-09-03,41729,Brand Awareness
CMP00265,CL0210,SEO - Brand Awareness,SEO,Organic Search (Google),2025-03-22,2026-04-10,24985,Brand Awareness
CMP00266,CL0043,SEO - Website Traffic,SEO,Organic Search (Google),2025-02-22,2026-09-06,40860,Website Traffic
CMP00267,CL0011,SEO - Sales / Conversions,SEO,Organic Search (Google),2026-07-08,2026-09-06,45619,Sales / Conversions
CMP00268,CL0215,Email Marketing - App Installs,Email Marketing,Email,2024-10-23,2026-01-06,11429,App Installs
CMP00269,CL0247,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2026-07-03,2026-09-06,"47,937",Lead Generation
CMP00270,CL0237,SEO - Lead Generation,SEO,Organic Search (Google),2026-04-02,2026-09-06,,Lead Generation
CMP00271,CL0256,SEO - Website Traffic,SEO,Organic Search (Google),2025-05-22,2026-05-26,31356,Website Traffic
CMP00272,CL0257,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2025-12-21,2026-09-06,65849,Sales / Conversions
CMP00273,CL0193,PPC - App Installs,PPC,Bing Ads,2025-06-13,2026-08-31,39465,App Installs
CMP00274,CL0167,Social Media Marketing - Website Traffic,Social Media Marketing,Instagram,2025-06-28,2026-09-06,93708,Website Traffic
CMP00275,CL0275,PPC - Sales / Conversions,PPC,Google Ads,2024-12-26,2026-07-06,97588,Sales / Conversions
CMP00276,CL0112,Local SEO / GMB - Lead Generation,Local SEO / GMB,Organic Search (Google),2026-04-06,06.09.2026,,Lead Generation
CMP00277,CL0032,PPC - Lead Generation,PPC,Google Ads,2024-09-09,2026-08-22,98346,Lead Generation
CMP00278,CL0241,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2025-01-14,26/08/2026,45216,App Installs
CMP00279,CL0089,SEO - Brand Awareness,SEO,,2025-04-15,2026-09-06,30313,Brand Awareness
CMP00280,CL0314,Local SEO / GMB - Website Traffic,Local SEO / GMB,Organic Search (Google),2025-05-05,2026-05-11,23426.0,Website Traffic
CMP00281,CL0133,Local SEO / GMB - App Installs,Local SEO / GMB,Organic Search (Google),2024-12-23,2026-08-08,26916,App Installs
CMP00282,CL0273,Content Marketing - Local Footfall,Content Marketing,Organic Search (Google),2026-05-06,06/09/2026,"₹15,105",Local Footfall
CMP00283,CL0014,Social Media Marketing - Brand Awareness,social media marketing,YouTube Ads,2025/10/12,2026-09-06,86863,Brand Awareness
CMP00284,CL0211,SEO - Lead Generation,SEO,Organic Search (Google),25-Mar-2025,2026-05-15,52350,Lead Generation
CMP00285,CL0144,Content Marketing - App Installs,content marketing,YouTube,2025-05-30,09/06/2026,14362,App Installs
CMP00286,CL0149,Content Marketing - App Installs,Content Marketing,Organic Search (Google),2026-04-09,2026-09-06,14326,App Installs
CMP00287,CL0085,PPC - Brand Awareness,PPC,Bing Ads,2025-11-20,2026-09-06,,N/A
CMP00288,CL0311,PPC - Website Traffic,PPC,Bing Ads,2025-11-20,2026-09-06,129564,Website Traffic
CMP00289,CL0126,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2025-07-18,2026-09-06,48475,Brand Awareness
CMP00290,CL0273,Content Marketing - App Installs,Content Marketing,Organic Search (Google),2026-05-06,2026-09-06,"35,625",App Installs
CMP00291,CL0137,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2026-05-21,2026-09-06,99975,App Installs
CMP00292,CL0016,Social Media Marketing - Brand Awareness,Social Media Marketing,LinkedIn Ads,2024-12-16,08/07/2026,42437,Brand Awareness
CMP00293,CL0282,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2025-09-19,2026-07-27,34127,Sales / Conversions
CMP00294,CL0060,PPC - Sales / Conversions,PPC,Google Ads,2025/10/24,2026-09-06,148910,Sales / Conversions
CMP00295,CL0087,PPC - Lead Generation,PPC,Google Ads,2025-06-11,01/08/2026,56468,Lead Generation
CMP00296,CL0276,SEO - Lead Generation,SEO,Organic Search (Google),2025-07-18,2026-09-06,36266,Lead Generation
CMP00297,CL0286,Content Marketing - Local Footfall,Content Marketing,Organic Search (Google),2024-12-23,2026-09-06,27684,Local Footfall
CMP00298,CL0294,PPC - Sales / Conversions,PPC,Google Ads,2026-03-15,06-Sep-2026,88019,Sales / Conversions
CMP00299,CL0137,PPC - Lead Generation,PPC,Bing Ads,2026-05-21,2026-09-06,,N/A
CMP00300,CL0243,PPC - Lead Generation,PPC,Bing Ads,2025-10-14,2026-09-06,108273,Lead Generation
CMP00301,CL0105,SEO - Sales / Conversions,SEO,Organic Search (Google),2026-06-07,2026-09-06,"₹46,139",Sales / Conversions
CMP00302,CL0237,Social Media Marketing - Local Footfall,Social Media Marketing,Meta Ads,2026-04-02,2026/09/06,32047.0,Local Footfall
CMP00303,CL0161,PPC - Sales / Conversions,PPC,Google Ads,2026-06-20,2026-09-06,82518.0,Sales / Conversions
CMP00304,CL0017,SEO - Local Footfall,SEO,Organic Search (Google),2025-11-21,2026-09-06,17581,Local Footfall
CMP00305,CL0134,Content Marketing - Sales / Conversions,Content Marketing,YouTube,2025-11-04,2026-08-14,18835,Sales / Conversions
CMP00306,CL0150,PPC - App Installs,PPC,Bing Ads,2025-09-10,2026-09-06,148338,App Installs
CMP00307,CL0083,PPC - App Installs,PPC,Bing Ads,08/07/2026,2026-09-06,85828,App Installs
CMP00308,CL0120,PPC - Lead Generation,PPC,Bing Ads,2025-10-31,2026-08-15,100954,Lead Generation
CMP00309,CL0161,Content Marketing - Lead Generation,Content Marketing,YouTube,2026-06-20,2026-09-06,45551,Lead Generation
CMP00310,CL0016,PPC - Local Footfall,PPC,Google Ads,2024-09-07,2026-09-05,112786,Local Footfall
CMP00311,CL0049,Content Marketing - Local Footfall,Content Marketing,Organic Search (Google),2026-07-08,2026-09-06,41695,Local Footfall
CMP00312,CL0246,Local SEO / GMB - Lead Generation,Local SEO / GMB,Google My Business,2026-06-06,2026-09-06,,Lead Generation
CMP00313,CL0113,Social Media Marketing - Website Traffic,Social Media Marketing,LinkedIn Ads,2024-09-20,2026-08-04,57400,Website Traffic
CMP00314,CL0195,PPC - Local Footfall,PPC,Google Ads,2025-05-31,2026-09-06,102234,Local Footfall
CMP00315,CL0182,Content Marketing - Local Footfall,Content Marketing,Organic Search (Google),2026-05-13,2026-09-06,"₹21,539",Local Footfall
CMP00316,CL0177,PPC - Brand Awareness,Pay Per Click,Bing Ads,2025/03/27,2026-09-06,135754,Brand Awareness
CMP00317,CL0133,PPC - App Installs,PPC,Bing Ads,2024-10-17,2025-08-19,"₹43,385",App Installs
CMP00318,CL0155,Social Media Marketing - Website Traffic,Social Media Marketing,Instagram,2024-10-13,2026-08-19,90148,Website Traffic
CMP00319,CL0264,PPC - Local Footfall,PPC,Bing Ads,2025-09-09,09/08/2026,134189,Local Footfall
CMP00320,CL0309,SEO - Lead Generation,SEO,Organic Search (Google),2025-10-02,2026-07-28,21402,Lead Generation
CMP00321,CL0083,PPC - Website Traffic,PPC,Bing Ads,2026-07-08,2026-09-06,112321,?
CMP00322,CL0215,SEO - Lead Generation,S.E.O,Organic Search (Google),2025/09/02,2026-06-12,59535,Lead Generation
CMP00323,CL0311,PPC - Sales / Conversions,PPC,Bing Ads,2025-11-20,2026-09-06,94381,Sales / Conversions
CMP00324,CL0003,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2025-04-12,2026-02-06,43929,Lead Generation
CMP00325,CL0252,Local SEO / GMB - Sales / Conversions,Local SEO / GMB,Google My Business,2025-09-14,2026-09-06,27347,Sales / Conversions
CMP00326,CL0159,SEO - App Installs,SEO,Organic Search (Google),2025-10-12,2026-07-02,Rs. 38065,App Installs
CMP00327,CL0310,Social Media Marketing - Website Traffic,Social Media Marketing,YouTube Ads,2026-03-09,2026-09-06,Rs. 25343,Website Traffic
CMP00328,CL0186,PPC - Brand Awareness,PPC,Bing Ads,2026-01-10,2026-09-06,Rs. nan,Brand Awareness
CMP00329,CL0269,SEO - Sales / Conversions,SEO,Organic Search (Google),2025-09-12,2026-09-06,45712,Sales / Conversions
CMP00330,CL0054,PPC - Sales / Conversions,PPC,Bing Ads,2025-08-23,2026-07-30,79197,Sales / Conversions
CMP00331,CL0046,SEO - App Installs,Seo ,Organic Search (Google),08/07/2026,2026-09-06,24752,App Installs
CMP00332,CL0297,SEO - Brand Awareness,SEO,Organic Search (Google),2025-02-26,2026-07-19,50956,Brand Awareness
CMP00333,CL0169,PPC - Lead Generation,PPC,Bing Ads,09/30/2024,2026-05-31,35675,Lead Generation
CMP00334,CL0179,PPC - Website Traffic,PPC,Bing Ads,2024-12-01,2026-08-09,48478,Website Traffic
CMP00335,CL0055,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2025-03-01,2026-02-28,54576,App Installs
CMP00336,CL0073,SEO - Sales / Conversions,SEO,Organic Search (Google),2025/03/27,2026-01-02,16778,Sales / Conversions
CMP00337,CL0262,SEO - Brand Awareness,SEO,Organic Search (Google),2025-08-19,2026-08-29,32432,Brand Awareness
CMP00338,CL0098,SEO - Lead Generation,SEO,Organic Search (Google),2025-12-06,2026-09-06,55947,Lead Generation
CMP00339,CL0187,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,23-Sep-2024,2026-02-27,94999,Local Footfall
CMP00340,CL0102,PPC - App Installs,PPC,Bing Ads,2025-12-07,06-Sep-2026,133354,App Installs
CMP00341,CL0085,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2025-11-21,2026-09-06,42538,Lead Generation
CMP00342,CL0054,PPC - Lead Generation,PPC,,2025-06-07,2026-07-24,28433,NA
CMP00343,CL0298,SEO - Lead Generation,seo,Organic Search (Google),2026-02-01,2026-09-06,51670,Lead Generation
CMP00344,CL0301,Local SEO / GMB - Sales / Conversions,Local SEO / GMB,Organic Search (Google),2024-09-09,2026-08-29,16212,Sales / Conversions
CMP00345,CL0037,SEO - App Installs,SEO,Organic Search (Google),23/06/2025,2026-09-06,48697,App Installs
CMP00346,CL0114,SEO - Lead Generation,SEO,Organic Search (Google),2024-12-17,2026-04-06,"₹20,362",Lead Generation
CMP00347,CL0181,SEO - App Installs,SEO,,2025-12-05,2026-09-06,45056,App Installs
CMP00348,CL0123,Local SEO / GMB - Lead Generation,Local SEO / GMB,Google My Business,2026-07-08,2026-09-06,20900,Lead Generation
CMP00349,CL0231,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2026-01-26,2026-09-06,93234,App Installs
CMP00350,CL0084,Social Media Marketing - Brand Awareness,Social Media Marketing,YouTube Ads,2025-05-26,2026-07-10,23664.0,Brand Awareness
CMP00351,CL0019,Local SEO / GMB - Local Footfall,Local SEO / GMB,Organic Search (Google),23.08.2025,12.07.2026,16974,Local Footfall
CMP00352,CL0108,SEO - Sales / Conversions,SEO,Organic Search (Google),2025-04-06,2026-03-27,59547,Sales / Conversions
CMP00353,CL0192,Local SEO / GMB - Brand Awareness,Local SEO / GMB,Organic Search (Google),2025-06-20,2026-09-06,16572,Brand Awareness
CMP00354,CL0058,SEO - Brand Awareness,SEO,Organic Search (Google),2024-11-28,2026-07-14,"44,611",Brand Awareness
CMP00355,CL0262,Social Media Marketing - App Installs,social media marketing,Instagram,2025-08-18,2026-09-06,28680,App Installs
CMP00356,CL0004,PPC - Sales / Conversions,PPC ,Google Ads,2025-09-23,2026-08-23,"₹114,692",Sales / Conversions
CMP00357,CL0022,PPC - Sales / Conversions,PPC,Bing Ads,2025-03-08,2026-08-07,55849,Sales / Conversions
CMP00358,CL0163,Local SEO / GMB - App Installs,Local SEO / GMB,Organic Search (Google),2025-07-08,2026-07-16,20588,App Installs
CMP00359,CL0164,SEO - Website Traffic,SEO,Organic Search (Google),2024-12-21,2026-09-06,54589,Website Traffic
CMP00360,CL0095,Local SEO / GMB - Website Traffic,Local SEO / GMB,Organic Search (Google),2025-02-17,06-Sep-2026,22543,Website Traffic
CMP00361,CL0083,PPC - Sales / Conversions,PPC,Bing Ads,08-Jul-2026,06/09/2026,81669,Sales / Conversions
CMP00362,CL0023,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2025-03-12,2026-06-30,31154,Lead Generation
CMP00363,CL0213,Local SEO / GMB - Lead Generation,Local SEO / GMB,Google My Business,2025-09-22,2026-09-06,15509,Lead Generation
CMP00364,CL0122,SEO - Lead Generation,SEO,Organic Search (Google),2026-04-15,2026-09-06,53217,Lead Generation
CMP00365,CL0038,Local SEO / GMB - Website Traffic,Local SEO / GMB,Google My Business,2024-09-15,2026-04-28,12754,Website Traffic
CMP00366,CL0128,Social Media Marketing - Website Traffic,Social Media Marketing,LinkedIn Ads,2025-01-29,2026-07-01,70785,Website Traffic
CMP00367,CL0300,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2026-02-13,2026-09-06,56221,App Installs
CMP00368,CL0084,SEO - Local Footfall,SEO,Organic Search (Google),12/06/2025,2026-08-20,29439,Local Footfall
CMP00369,CL0287,Social Media Marketing - Brand Awareness,Social Media Marketing,YouTube Ads,2025-06-18,2026-09-06,75916,Brand Awareness
CMP00370,CL0083,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,2026-07-08,2026-09-06,45781,Local Footfall
CMP00371,CL0060,PPC - Local Footfall,PPC,Bing Ads,2025-10-24,2026-09-06,57269,Local Footfall
CMP00372,CL0084,SEO - Website Traffic,SEO,Organic Search (Google),2025-03-30,2026-09-06,"38,816",Website Traffic
CMP00373,CL0104,PPC - Website Traffic,PPC,Bing Ads,2024-12-20,2026-07-08,118503,Website Traffic
CMP00374,CL0039,Email Marketing - Brand Awareness,Email Marketing,Email,2026-05-24,2026-09-06,22282,Brand Awareness
CMP00375,CL0189,SEO - Brand Awareness,SEO,Organic Search (Google),2024-09-13,2026-09-05,43340,Brand Awareness
CMP00376,CL0107,Social Media Marketing - Lead Generation,Social Media Mktg,LinkedIn Ads,2025-09-27,2026-08-07,71268,Lead Generation
CMP00377,CL0230,Local SEO / GMB - Website Traffic,GMB,Google My Business,2025-12-27,2026-09-06,25326,NA
CMP00378,CL0158,SEO - Sales / Conversions,SEO,Organic Search (Google),2025-04-03,2026-08-10,27116,Sales / Conversions
CMP00379,CL0142,SEO - Brand Awareness,SEO,Organic Search (Google),2026-02-08,2026/09/06,,Brand Awareness
CMP00380,CL0151,Social Media Marketing - Lead Generation,Social Media Marketing,,2026-06-22,2026-09-06,56138,Lead Generation
CMP00381,CL0051,SEO - Lead Generation,SEO,Organic Search (Google),2025-04-06,2026-04-17,43396,Lead Generation
CMP00382,CL0229,Social Media Marketing - Website Traffic,Social Media Marketing,LinkedIn Ads,2025-10-01,2026-09-06,69909,Website Traffic
CMP00383,CL0034,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2026-06-12,2026-09-06,28067,App Installs
CMP00384,CL0231,Social Media Marketing - Website Traffic,Social Media Marketing,YouTube Ads,2026-01-26,2026/09/06,81351,Website Traffic
CMP00385,CL0320,PPC - Lead Generation,PPC,Bing Ads,2024-09-08,2026-08-28,67293,Lead Generation
CMP00386,CL0245,Social Media Marketing - Lead Generation,Social Media Marketing,,2025-10-22,2026-09-06,89569,Lead Generation
CMP00387,CL0146,Social Media Marketing - Lead Generation,Social Media Marketing,Meta Ads,2026-04-08,2026-09-06,76570,Lead Generation
CMP00388,CL0101,SEO - App Installs,SEO,Organic Search (Google),2026-01-25,2026-09-06,"59,232",App Installs
CMP00389,CL0280,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2026-02-14,2026-09-06,68691,App Installs
CMP00390,CL0083,Email Marketing - Brand Awareness,Email Marketing,,2026-07-08,2026-09-06,15549,Brand Awareness
CMP00391,CL0155,Social Media Marketing - Lead Generation,social media marketing,,2024-11-07,2025/09/25,30968,Lead Generation
CMP00392,CL0247,Social Media Marketing - Brand Awareness,Social Media Marketing,LinkedIn Ads,2026-07-03,2026-09-06,48886,Brand Awareness
CMP00393,CL0296,PPC - App Installs,PPC,Bing Ads,2025-12-31,2026-09-06,"₹131,584",App Installs
CMP00394,CL0295,SEO - Lead Generation,SEO,Organic Search (Google),2024-09-09,2026-01-27,32191,Lead Generation
CMP00395,CL0029,PPC - App Installs,PPC,Bing Ads,2024-10-26,2026-08-14,26935,App Installs
CMP00396,CL0288,SEO - Sales / Conversions,SEO,Organic Search (Google),2025-09-18,2026-06-28,26030,NA
CMP00397,CL0037,Local SEO / GMB - Lead Generation,Local SEO / GMB,Organic Search (Google),2025-09-30,2026-06-21,"21,094",Lead Generation
CMP00398,CL0188,PPC - Local Footfall,PPC,Google Ads,2026-03-03,2026-09-06,101784,Local Footfall
CMP00399,CL0298,Content Marketing - Website Traffic,Content Marketing,LinkedIn,2026-02-01,2026-09-06,49352,Website Traffic
CMP00400,CL0210,SEO - App Installs,SEO,Organic Search (Google),2024-10-07,2026-09-06,57023,App Installs
CMP00401,CL0304,PPC - Lead Generation,PPC,Bing Ads,2024-10-14,2026-09-06,"89,095",Lead Generation
CMP00402,CL0111,PPC - Sales / Conversions,PPC,Google Ads,2025-03-26,2026-04-14,"₹92,086",Sales / Conversions
CMP00403,CL0101,PPC - Website Traffic,PPC,Google Ads,25.01.2026,06/09/2026,124087,Website Traffic
CMP00404,CL0105,Content Marketing - Website Traffic,Content Marketing,YouTube,2026-06-07,2026-09-06,11945,N/A
CMP00405,CL0114,Local SEO / GMB - Lead Generation,Local SEO / GMB,Organic Search (Google),2024-11-13,06.09.2026,,Lead Generation
CMP00406,CL0219,Email Marketing - Website Traffic,Email Marketing,Email,2025-05-07,2026-08-09,14480,Website Traffic
CMP00407,CL0145,SEO - Local Footfall,SEO,Organic Search (Google),2026-02-12,2026-09-06,50238,Local Footfall
CMP00408,CL0236,Content Marketing - App Installs,Content Marketing,,27.11.2024,2026-08-31,42014,NA
CMP00409,CL9998,SEO - Brand Awareness,SEO,Organic Search (Google),2024-12-22,2026-07-24,44501,Brand Awareness
CMP00410,CL0099,Email Marketing - Local Footfall,Email Marketing,Email,2024-11-20,2026-03-31,18145.0,Local Footfall
CMP00411,CL0061,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2026-04-12,2026-09-06,73746,App Installs
CMP00412,CL0177,PPC - Lead Generation,PPC ,,2025-04-28,2026-08-30,95417,Lead Generation
CMP00413,CL0288,SEO - Lead Generation,SEO,Organic Search (Google),2025-02-22,24.07.2026,25251,Lead Generation
CMP00414,CL0275,SEO - Local Footfall,SEO,,2025-09-09,2026-05-30,27803,Local Footfall
CMP00415,CL0082,PPC - Brand Awareness,PPC,Google Ads,2025-05-01,2026-09-06,116436,Brand Awareness
CMP00416,CL0153,Email Marketing - Lead Generation,Email Marketing,Email,2025-03-12,2026-07-01,Rs. 17367,Lead Generation
CMP00417,CL0226,Content Marketing - Sales / Conversions,Content Marketing,YouTube,2026-02-12,2026-09-06,19516,Sales / Conversions
CMP00418,CL0196,Local SEO / GMB - Website Traffic,GMB,Google My Business,2026-06-12,2026-09-06,Rs. 27312,Website Traffic
CMP00419,CL0022,SEO - Website Traffic,SEO,Organic Search (Google),02/15/2025,2026-09-06,59128,Website Traffic
CMP00420,CL9998,Social Media Marketing - Website Traffic,Social Media Mktg,Instagram,2025-08-10,2026-09-06,68216,Website Traffic
CMP00421,CL0013,PPC - Local Footfall,PPC,Google Ads,2026-07-01,2026-09-06,49612,Local Footfall
CMP00422,CL0038,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2025-08-05,2026-07-22,,App Installs
CMP00423,CL0210,PPC - Lead Generation,PPC,Bing Ads,2025-05-13,2026-02-07,50768.0,Lead Generation
CMP00424,CL0033,PPC - Lead Generation,PPC,Bing Ads,2026-03-14,2026-09-06,76220,Lead Generation
CMP00425,CL0109,Social Media Marketing - Lead Generation,Social Media Marketing,LinkedIn Ads,2024/10/01,2026-09-02,Rs. 87987,Lead Generation
CMP00426,CL0189,SEO - Sales / Conversions,SEO,Organic Search (Google),2024-09-20,2026-08-02,38430,Sales / Conversions
CMP00427,CL0210,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2025-02-01,2026-07-18,35653,-
CMP00428,CL0143,Social Media Marketing - Local Footfall,Social Media Mktg,Meta Ads,06.09.2024,2026-08-22,21808,Local Footfall
CMP00429,CL0031,SEO - Sales / Conversions,SEO,Organic Search (Google),2024-09-10,2026-08-30,31240,-
CMP00430,CL0256,Local SEO / GMB - Lead Generation,Local SEO / GMB,Google My Business,2025-05-22,29/03/2026,,Lead Generation
CMP00431,CL0304,Social Media Marketing - Local Footfall,Social Media Marketing,LinkedIn Ads,22.10.2024,2026-07-09,75744,Local Footfall
CMP00432,CL0285,Content Marketing - Brand Awareness,Content Marketing,Organic Search (Google),2025-11-02,2026/07/29,18917,Brand Awareness
CMP00433,CL0240,Social Media Marketing - Local Footfall,Social Media Marketing,Instagram,30.11.2024,2026-09-06,28493,Local Footfall
CMP00434,CL0129,Social Media Marketing - App Installs,Social Media Marketing,YouTube Ads,2025-09-08,2026-07-30,74623.0,App Installs
CMP00435,CL0281,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,2024-10-19,2026-09-06,28521,Local Footfall
CMP00436,CL0157,Email Marketing - App Installs,Email Marketing,Email,19/04/2025,2026-04-08,6285,App Installs
CMP00437,CL0044,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2026-02-05,2026-09-06,56340,Lead Generation
CMP00438,CL0273,PPC - Website Traffic,PPC,Google Ads,2026-05-06,06-Sep-2026,94218,Website Traffic
CMP00439,CL0103,SEO - Sales / Conversions,SEO,Organic Search (Google),2025-04-06,06/09/2026,25966,Sales / Conversions
CMP00440,CL0301,Social Media Marketing - Website Traffic,Social Media Marketing,LinkedIn Ads,2024-10-08,2025-09-17,32953,Website Traffic
CMP00441,CL0118,SEO - App Installs,SEO,Organic Search (Google),2025-02-23,2026-03-04,25604,App Installs
CMP00442,CL0279,PPC - Website Traffic,PPC,Google Ads,2026-06-29,2026-09-06,64567,Website Traffic
CMP00443,CL9998,SEO - Brand Awareness,Seo ,Organic Search (Google),2025-08-11,2026/05/24,15415,Brand Awareness
CMP00444,CL0150,Social Media Marketing - Local Footfall,Social Media Marketing,YouTube Ads,2025-09-10,2026-09-06,15999,Local Footfall
CMP00445,CL0095,SEO - Website Traffic,SEO,Organic Search (Google),2025-04-13,2026-08-25,31670,Website Traffic
CMP00446,CL0268,Social Media Marketing - Local Footfall,Social Media Marketing,Meta Ads,2025-03-28,2026-06-18,"₹16,691",Local Footfall
CMP00447,CL0020,Content Marketing - Brand Awareness,Content Marketing,LinkedIn,07/27/2025,2026-07-11,22730,Brand Awareness
CMP00448,CL0151,Content Marketing - Local Footfall,Content Marketing,YouTube,2026-06-22,2026-09-06,33236,Local Footfall
CMP00449,CL0119,PPC - Brand Awareness,PPC,Bing Ads,2025-06-06,2026-09-06,24050,Brand Awareness
CMP00450,CL0174,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,2024-09-07,2026-09-06,67515,Sales / Conversions
